Province;Kabupaten;Kecamatan;Kelurahan;latitude;longitude;Kodepos
PAPUA BARAT;KABUPATEN TELUK BINTUNI;MERDEY;MOGROMUS/MOGMEN;-1.4740645;133.3680788;98373
PAPUA BARAT;KABUPATEN TELUK BINTUNI;MERDEY;MEYEJGA;-1.4189158000000002;133.2908233;98373
PAPUA BARAT;KABUPATEN TELUK BINTUNI;MERDEY;MEKIESEFEP;-1.4189158000000002;133.2908233;98373
PAPUA BARAT;KABUPATEN TELUK BINTUNI;MERDEY;ANEJERO;-1.4189158000000002;133.2908233;98373
PAPUA BARAT;KABUPATEN TELUK BINTUNI;MASYETA;MESTOFU;-1.5130947;132.941698;98373
PAPUA BARAT;KABUPATEN TELUK BINTUNI;BISCOOP;MOWTIKA;-1.4978011;133.5606946;98373
PAPUA BARAT;KOTA SORONG;SORONG;REMU UTARA;-0.8802323000000001;131.2833674;98416
PAPUA BARAT;KOTA SORONG;KLAURUNG;KALASUAT;-0.9488935;131.4062045;98417
PAPUA BARAT;KABUPATEN SORONG;MAYAMUK;KLAIN;-1.0583668;131.3460732;98451
PAPUA BARAT;KABUPATEN SORONG;SEGUN;KLASEGUN;-1.4658061000000002;131.2406872;98452
PAPUA BARAT;KABUPATEN SORONG;KLAWAK;TBOTJIN;-1.2135923000000002;131.7904952;98453
PAPUA BARAT;KABUPATEN SORONG SELATAN;SAIFI;SAYAL / SEREMUK;-1.5247834999999998;131.8600768;98454
PAPUA BARAT;KABUPATEN SORONG SELATAN;SEREMUK;KLAUGIN;-1.4275396;131.9692387;98454
PAPUA BARAT;KABUPATEN SORONG SELATAN;SEREMUK;SRER SEMBRA;1.252576;103.8467919;98454
PAPUA BARAT;KABUPATEN SORONG SELATAN;WAYER;UNGGI;-1.5181535;132.1375086;98454
PAPUA BARAT;KABUPATEN SORONG SELATAN;TEMINABUAN;NAMRO;-1.4353424;132.0262127;98454
PAPUA BARAT;KABUPATEN SORONG SELATAN;KOKODA;MIGIRITO;-2.1421473;132.3544831;98455
PAPUA BARAT;KABUPATEN SORONG SELATAN;KOKODA UTARA;KAMUNDAN;-1.9007247;132.42824840000003;98455
PAPUA BARAT;KABUPATEN SORONG SELATAN;KOKODA UTARA;ATORI / KAMBUR;1.252489;103.84701;98455
PAPUA BARAT;KABUPATEN SORONG;KLAMONO;KLAMONO;-1.129775;131.475403;98456
PAPUA BARAT;KABUPATEN SORONG SELATAN;SAWIAT;SUDROFOYO;-1.2754468;131.9593241;98456
PAPUA BARAT;KABUPATEN SORONG SELATAN;SAWIAT;WENSOUG;-1.2754468;131.9593241;98456
PAPUA BARAT;KABUPATEN SORONG;MARIAT;KLASULUK;-1.0008642;131.3159832;98457
PAPUA BARAT;KABUPATEN MAYBRAT;AYAMARU SELATAN;KOMA-KOMA;-1.3511349;132.14739029999998;98461
PAPUA BARAT;KABUPATEN MAYBRAT;AYAMARU UTARA TIMUR;FRABOH;-1.232155;132.324948;98461
PAPUA BARAT;KABUPATEN MAYBRAT;AYAMARU BARAT;SOROAN;-1.2871124;132.0979633;98461
PAPUA BARAT;KABUPATEN MAYBRAT;AYAMARU;FRAHAROH;-1.2871124;132.0979633;98461
PAPUA BARAT;KABUPATEN MAYBRAT;AYAMARU TIMUR SELATAN;KAMBUWIFA;-1.3234522;132.2608986;98461
PAPUA BARAT;KABUPATEN MAYBRAT;AITINYO UTARA;ASMURUF 'U';-1.345274;132.3372563;98462
PAPUA BARAT;KABUPATEN MAYBRAT;AITINYO UTARA;MIRAFAN;-1.330385;132.343704;98462
PAPUA BARAT;KABUPATEN MAYBRAT;AITINYO;KAMRO;-1.5204287;132.3446399;98462
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT;TEHAHITE;-1.2798879;132.4528138;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT;KOCUAS;-1.2597281;132.3840017;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT;KOCUWER;-1.2420547;132.4601812;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT SELATAN;TASIMARA;-1.5525534;132.5117238;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT SELATAN;SORY;-1.5525534;132.5117238;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT SELATAN;FUOG;-1.4500133;132.57056740000002;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT UTARA;KONJA;-1.1417379;132.56076480000002;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT UTARA;MOSUN;-1.1446075;132.4036715;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT UTARA;MOSUN;-1.1446075;132.4036715;98463
PAPUA BARAT;KABUPATEN MAYBRAT;AIFAT UTARA;MAAN;-1.1512241;132.4331624;98463
PAPUA BARAT;KABUPATEN SORONG;KLAYILI;MALAKOBUTUK;-0.9505218;131.5412618;98471
PAPUA BARAT;KABUPATEN SORONG;KLAYILI;MLASLI/KWAKEIK;-0.9505218;131.5412618;98471
PAPUA BARAT;KABUPATEN SORONG;KLAYILI;KLAYILI;-0.9505218;131.5412618;98471
PAPUA BARAT;KABUPATEN SORONG;MAKBON;BATU LOBANG;-0.8296644;131.43124;98471
PAPUA BARAT;KABUPATEN SORONG;MAKBON;BAINGKETE;-0.8208263000000001;131.5612423;98471
PAPUA BARAT;KABUPATEN TAMBRAUW;MORAID;SALEWOK;-0.6590991999999999;131.9791516;98472
PAPUA BARAT;KABUPATEN TAMBRAUW;IRERES;MIRI/IBIAH;1.2500118999999998;103.843354;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;IRERES;ATAPRUMEK;-0.781856;132.3938375;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;SAUSAPOR;BANDONGGWAN;-0.5299184;132.1967716;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;MIYAH SELATAN;AYIAMANE;-0.7502666;132.66849240000002;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;ABUN;WEPRIARI;-0.4695379;132.7466993;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;BIKAR;WERUR BESAR;-0.4528323;132.1671483;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;ASES;FRASAYUOH;-0.7669893;132.4528138;98473
PAPUA BARAT;KABUPATEN TAMBRAUW;KWESEFO;BATDE;-0.5481944000000001;132.52153570000002;98473
PAPUA BARAT;KABUPATEN RAJA AMPAT;MEOS MANSAR;SAUANDAREK;1.249852;103.844694;98482
PAPUA BARAT;KABUPATEN RAJA AMPAT;MEOS MANSAR;YENBEKWAN;-0.5770071999999999;130.6422998;98482
PAPUA BARAT;KABUPATEN RAJA AMPAT;WAIGEO TIMUR;YENBEKAKI;-0.2959317;131.260776;98482
PAPUA BARAT;KABUPATEN RAJA AMPAT;MEOS MANSAR;YENWAOUPNOR;-0.5067242999999999;130.6448378;98482
PAPUA BARAT;KABUPATEN FAKFAK;KOKAS;PANG WADA;-2.840682;132.7466993;98652
PAPUA BARAT;KABUPATEN FAKFAK;MBAHAMDANDARA;METIMBER;-2.9960001;132.7955185;98652
PAPUA BARAT;KABUPATEN FAKFAK;MBAHAMDANDARA;MBAHAMDANDARA;-2.9960001;132.7955185;98652
PAPUA BARAT;KABUPATEN FAKFAK;KOKAS;MAMBUNIIBUNI;-2.8883856;132.6880552;98652
PAPUA BARAT;KABUPATEN FAKFAK;KAYAUNI;HAMORKOKMA;-2.885237;132.26582820000002;98652
PAPUA BARAT;KABUPATEN FAKFAK;KAYAUNI;MANANMUR/RANGKENDAK II;-2.7216985;132.30032279999998;98652
PAPUA BARAT;KABUPATEN KAIMANA;TELUK ARGUNI BAWAH;AGERWARA;1.265261;103.814417;98653
PAPUA BARAT;KABUPATEN KAIMANA;TELUK ARGUNI BAWAH;WARMENU;1.265261;103.814417;98653
PAPUA BARAT;KABUPATEN KAIMANA;TELUK ARGUNI BAWAH;KUFURIAI;-3.2317082000000004;133.47411;98653
PAPUA BARAT;KABUPATEN KAIMANA;TELUK ARGUNI BAWAH;RUARA;1.265261;103.814417;98653
PAPUA BARAT;KABUPATEN KAIMANA;YAMOR;WAGIOHA;-3.7749476;134.7756422;98655
PAPUA BARAT;KABUPATEN KAIMANA;YAMOR;COREMURI/OMBAPAMUKU;-4.1073925;134.9440129;98655
PAPUA BARAT;KABUPATEN FAKFAK;FAKFAK BARAT;KWUHKENDIK;-2.8426004;132.2066423;98661
PAPUA BARAT;KABUPATEN FAKFAK;FAKFAK BARAT;WERBA;-2.9155301;132.20294099999998;98661
PAPUA BARAT;KABUPATEN FAKFAK;FURWAGI;TWOOTKENDIK;-2.885237;132.26582820000002;98661
PAPUA BARAT;KABUPATEN FAKFAK;FURWAGI;WERFA;-2.7659614;131.9741954;98661
PAPUA BARAT;KABUPATEN FAKFAK;BOMBERAY;TESHA;-2.8889407000000005;132.9173637;98662
PAPUA BARAT;KABUPATEN FAKFAK;TOMAGE;WARISA MULIA;-2.6585559;133.1553389;98662
PAPUA BARAT;KABUPATEN FAKFAK;KARAS;TUBIRWASAK;-3.4805457000000004;132.7589084;98662
PAPUA;KABUPATEN PANIAI;PANIAI TIMUR;IPAKIJE;-3.9522081;136.5547852;98711
PAPUA;KABUPATEN PANIAI;PANIAI TIMUR;UMBUTU / UYUBUTU / UWIBUTU;-3.913326;136.3672674;98711
PAPUA;KABUPATEN PANIAI;KEBO;IBOMOMAIDA / IBUMAIDA;-3.8016075;136.3432781;98717
PAPUA;KABUPATEN PANIAI;KEBO;KAGUPAGU;-3.7876441;136.3624686;98718
PAPUA;KABUPATEN DEIYAI;BOWOBADO;WOOGE;-4.2481946;136.400872;98724
PAPUA;KABUPATEN PANIAI;YATAMO;KENIAPA / UDAUGIDA;-3.9841141;136.3432781;98726
